CustomerID,Age,Gender,AnnualIncome,SpendingScore,ChannelPreference,RecentPurchase,PurchaseCategory,AvgPurchaseValue,VisitsPerMonth,LatentSegment
1042,37,F,121000,61,In-store,5,Home Décor,153,5,Affluent Tech Buyers
1043,50,F,145000,59,Hybrid,5,Health & Fitness,193,5,Affluent Tech Buyers
1044,58,F,105000,54,In-store,1,Home Décor,207,1,Affluent Tech Buyers
1045,60,F,150000,45,In-store,4,Electronics,220,3,Affluent Tech Buyers
1046,40,F,147000,68,In-store,1,Home Décor,183,1,Affluent Tech Buyers
1047,41,F,101000,55,Online,2,Health & Fitness,154,4,Affluent Tech Buyers
1048,35,F,100000,65,Online,3,Health & Fitness,320,6,Affluent Tech Buyers
1049,38,M,122000,57,In-store,4,Electronics,393,1,Affluent Tech Buyers
1050,49,M,92000,56,In-store,5,Home Décor,180,3,Affluent Tech Buyers
1051,50,M,86000,48,In-store,4,Home Décor,42,12,Family Value Shoppers
1052,40,M,54000,53,Hybrid,7,Home Décor,56,11,Family Value Shoppers
1053,51,F,53000,65,Online,4,Kids,88,12,Family Value Shoppers
1054,38,M,84000,62,Online,5,Groceries,96,12,Family Value Shoppers
1055,55,M,54000,61,Online,8,Kids,80,6,Family Value Shoppers
1056,43,F,52000,52,In-store,9,Home Décor,109,7,Family Value Shoppers
1057,49,M,66000,60,In-store,7,Home Décor,114,11,Family Value Shoppers
1058,52,F,87000,50,In-store,9,Pets,50,10,Family Value Shoppers
1059,50,M,78000,57,In-store,8,Groceries,117,6,Family Value Shoppers
1060,52,M,54000,56,In-store,6,Groceries,89,6,Family Value Shoppers
1061,43,M,84000,46,Hybrid,8,Kids,91,9,Family Value Shoppers
1062,31,F,84000,46,In-store,5,Pets,47,10,Family Value Shoppers
1063,42,M,82000,41,Online,6,Groceries,90,7,Family Value Shoppers
1064,34,F,87000,43,In-store,6,Pets,98,7,Family Value Shoppers
1065,53,F,59000,51,In-store,9,Pets,87,6,Family Value Shoppers
1066,36,F,90000,52,Online,8,Groceries,46,9,Family Value Shoppers
1067,35,M,63000,44,Online,6,Groceries,82,6,Family Value Shoppers
1068,36,F,82000,50,Hybrid,7,Kids,115,10,Family Value Shoppers
1069,46,M,73000,55,In-store,4,Pets,98,9,Family Value Shoppers
1070,44,M,81000,46,In-store,8,Home Décor,51,9,Family Value Shoppers
1071,54,F,75000,48,In-store,6,Kids,117,10,Family Value Shoppers
1072,40,F,76000,49,In-store,6,Kids,117,9,Family Value Shoppers
1073,37,F,75000,53,Hybrid,8,Home Décor,53,11,Family Value Shoppers
1074,31,M,81000,49,In-store,7,Kids,104,11,Family Value Shoppers
1075,30,M,80000,59,In-store,3,Kids,72,12,Family Value Shoppers
1076,39,F,55000,48,In-store,5,Kids,88,11,Family Value Shoppers
1077,54,M,83000,51,Hybrid,4,Groceries,76,9,Family Value Shoppers
1078,43,F,71000,49,In-store,8,Kids,103,9,Family Value Shoppers
1079,39,M,74000,74,Online,4,Apparel,197,9,Fashion-Forward Professionals
1080,41,F,113000,88,Online,8,Health & Fitness,96,5,Fashion-Forward Professionals
1081,45,M,92000,79,Online,6,Health & Fitness,194,6,Fashion-Forward Professionals
1082,44,M,77000,84,Online,4,Apparel,113,7,Fashion-Forward Professionals
1083,27,F,111000,78,Online,5,Beauty,91,7,Fashion-Forward Professionals
1084,41,M,107000,73,In-store,6,Health & Fitness,116,7,Fashion-Forward Professionals
1085,42,F,72000,77,Hybrid,6,Health & Fitness,154,5,Fashion-Forward Professionals
1086,39,F,79000,71,Hybrid,7,Health & Fitness,131,6,Fashion-Forward Professionals
1087,42,M,70000,86,Online,4,Beauty,175,5,Fashion-Forward Professionals
1088,42,F,83000,73,Online,6,Beauty,153,7,Fashion-Forward Professionals
1089,34,F,75000,77,In-store,5,Health & Fitness,128,6,Fashion-Forward Professionals
1090,25,M,106000,90,Online,8,Apparel,156,7,Fashion-Forward Professionals
1091,34,M,96000,82,In-store,3,Apparel,197,7,Fashion-Forward Professionals
1092,29,M,119000,79,Online,3,Beauty,129,8,Fashion-Forward Professionals
1093,27,M,108000,81,Online,5,Health & Fitness,98,7,Fashion-Forward Professionals
1094,27,M,101000,86,Online,6,Apparel,129,8,Fashion-Forward Professionals
1095,39,F,95000,75,In-store,7,Beauty,181,7,Fashion-Forward Professionals
1096,35,F,72000,83,Online,5,Beauty,106,8,Fashion-Forward Professionals
1097,36,F,73000,88,Online,8,Beauty,194,8,Fashion-Forward Professionals
1098,40,F,101000,82,Online,5,Health & Fitness,151,6,Fashion-Forward Professionals
1099,36,M,70000,79,Online,3,Apparel,152,6,Fashion-Forward Professionals
1100,38,F,72000,73,Online,3,Health & Fitness,118,8,Fashion-Forward Professionals
